CREATEDATE	LOCALDATE (BEIJING)	SITE	RVR1M	RVR_1A	ST	RVR1X	RVR_10M	RVR_10A	ST.1	RVR_10X	RVR_TEND	MOR_1A	MOR_10M	MOR_10A	MOR_10X	VIS1K	VIS1A	VIS10A	BL1A	RVR DATA	MOR_RAW	VIS_RAW	LIGHTS	STATUS	RVR DATA.1	timestamp
2020-03-12 00:00:00	2020-03-12 08:00:00	R06	2800	3000	 	3000	2800	2900	 	3000	0	3000	2800	2900	3000	1208	3000	3000	5461	3087	3088	3088	100	0	VIS  3087.5 AL 00000000000000000000 BL 05461 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0B17A	0
2020-03-12 00:01:00	2020-03-12 08:01:00	R06	2800	3000	 	3000	2800	2900	 	3000	0	3100	2800	2900	3100	1208	3100	3000	5489	3113	3114	3114	100	0	VIS  3113.5 AL 00000000000000000000 BL 05489 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 00E69	1
2020-03-12 00:02:00	2020-03-12 08:02:00	R06	2800	3000	 	3000	2800	3000	 	3000	0	3100	2800	3000	3100	1213	3100	3000	5500	3148	3148	3148	100	0	VIS  3148.0 AL 00000000000000000000 BL 05500 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 03B20	2
2020-03-12 00:03:00	2020-03-12 08:03:00	R06	2800	3000	 	3000	2800	3000	 	3000	0	3100	2800	3000	3100	1213	3100	3000	5510	3147	3148	3148	100	0	VIS  3147.8 AL 00000000000000000000 BL 05510 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0A990	3
2020-03-12 00:04:00	2020-03-12 08:04:00	R06	2800	3000	 	3000	2800	3000	 	3000	0	3100	2800	3000	3100	1213	3100	3100	5530	3143	3143	3143	100	0	VIS  3143.4 AL 00000000000000000000 BL 05530 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0E884	4
2020-03-12 00:05:00	2020-03-12 08:05:00	R06	2800	3000	 	3000	2900	3000	 	3000	0	3100	2900	3000	3100	1201	3100	3100	5548	3089	3090	3090	100	0	VIS  3089.7 AL 00000000000000000000 BL 05548 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0E54E	5
2020-03-12 00:06:00	2020-03-12 08:06:00	R06	3000	3000	 	3000	2900	3000	 	3000	0	3000	2900	3000	3100	1201	3000	3100	5559	3097	3097	3097	100	0	VIS  3097.1 AL 00000000000000000000 BL 05559 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0E725	6
2020-03-12 00:07:00	2020-03-12 08:07:00	R06	3000	3000	 	3000	2900	3000	 	3000	0	3100	2900	3100	3100	1208	3100	3100	5574	3144	3145	3145	100	0	VIS  3144.9 AL 00000000000000000000 BL 05574 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0436B	7
2020-03-12 00:08:00	2020-03-12 08:08:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3100	1205	3100	3100	5598	3120	3121	3121	100	0	VIS  3120.9 AL 00000000000000000000 BL 05598 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0EDFF	8
2020-03-12 00:09:00	2020-03-12 08:09:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3100	1201	3100	3100	5611	3120	3121	3121	100	0	VIS  3120.7 AL 00000000000000000000 BL 05611 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 04534	9
